t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58634,2,36.0,61.96,212.0
58636,1,39.0,89.07,230.0
58637,1,67.0,98.87,253.0
58638,1,118.0,147.76,321.0
58639,2,27.0,54.835,128.0
58640,1,63.0,116.67,251.0
58641,1,65.0,102.49,309.0
58642,2,72.0,115.47,315.0
58643,1,48.0,73.34,219.0
58645,1,9.0,47.6,174.0
58646,1,25.0,41.38,187.0
58648,1,138.0,184.89,285.0
58649,1,0.0,4.04,27.0
58650,2,69.0,87.27,188.0
58651,2,53.5,73.515,222.5
58652,1,13.0,36.11,110.0
58653,1,599.0,710.04,852.0
58655,1,585.0,707.71,851.0
58661,1,88.0,151.75,379.0
58662,2,98.0,152.91500000000002,383.0
58663,2,82.5,122.535,292.0
58665,1,0.0,7.44,40.0
58666,1,25.0,54.82,182.0
58667,2,98.5,141.325,326.5
58668,1,43.0,62.42,162.0
58669,1,2.0,34.92,173.0
58671,1,96.0,130.25,250.0
58672,2,70.5,115.47,286.5
58674,2,87.0,126.715,281.0
58678,1,69.0,124.61,357.0
58683,1,126.0,159.11,314.0
58684,1,57.0,90.04,194.0
58685,1,123.0,171.28,310.0
58686,1,83.0,135.26,263.0
58688,2,93.5,123.455,245.0
58689,1,48.0,57.17,126.0
58690,1,39.0,50.54,118.0
58697,1,458.0,556.82,742.0
58699,3,184.66666666666666,233.31666666666663,400.0
58700,1,43.0,70.11,199.0
58701,1,78.0,114.76,308.0
58702,2,75.5,112.53,260.0
58703,2,39.0,95.71,181.5
58705,2,65.0,136.1,274.5
58707,2,49.5,85.35499999999999,223.5
58708,2,85.0,123.17999999999999,258.5
58709,2,61.0,111.32000000000001,278.5
58710,4,73.25,109.44,228.25
58711,1,35.0,81.16,209.0
58712,3,84.66666666666667,112.11,229.33333333333334
58714,1,115.0,165.69,296.0
58715,1,59.0,94.97,189.0
58716,1,105.0,144.08,295.0
58717,2,100.5,161.095,348.0
58718,1,100.0,142.51,293.0
58719,1,98.0,151.52,338.0
58720,2,54.0,100.91000000000001,270.5
58721,2,66.5,107.69500000000001,257.0
58722,2,66.5,93.82,190.0
58723,3,96.0,154.34,305.6666666666667
58724,1,0.0,7.32,77.0
58725,2,65.0,110.965,273.5
58726,1,160.0,216.42,384.0
58727,2,23.5,63.425,213.5
58728,2,45.5,68.66,207.5
58729,2,10.0,31.03,93.0
58730,1,82.0,139.9,378.0
58731,2,87.5,143.455,304.0
58732,1,0.0,13.49,165.0
58734,2,41.0,85.77,243.0
58737,2,78.5,109.355,283.0
58739,1,16.0,52.81,178.0
58741,3,299.6666666666667,374.24666666666667,520.3333333333334
58742,1,40.0,71.66,257.0
58744,1,88.0,123.87,303.0
58745,1,118.0,152.26,302.0
58747,1,30.0,49.94,179.0
58750,1,653.0,756.42,943.0
58751,2,41.5,73.245,204.0
58753,2,25.0,51.39,186.5
58756,1,104.0,142.3,350.0
58758,2,234.0,321.14,559.5
58760,1,90.0,124.16,248.0
58762,1,16.0,56.12,195.0
58763,2,224.5,286.33500000000004,444.0
58766,1,11.0,33.67,145.0
58767,1,133.0,187.83,383.0
58768,1,0.0,17.71,104.0
58771,1,26.0,70.99,199.0
58773,2,36.0,53.655,174.5
58774,1,70.0,119.95,260.0
58775,1,35.0,44.37,66.0
58777,1,63.0,75.82,94.0
58781,3,37.666666666666664,64.69333333333333,159.33333333333334
58782,1,29.0,61.89,170.0
58783,1,48.0,64.48,133.0
58785,1,58.0,77.14,131.0
58786,2,494.5,587.63,761.0
